date,transfer_count,usdc_volume,BTC_Close,ETH_Close
2023-10-01,42852,2698518446.321946,27983.75,1733.8104248046875
2023-10-02,61516,7903753391.062651,27530.78515625,1663.6275634765625
2023-10-03,50597,6157389039.677013,27429.978515625,1656.6856689453125
2023-10-04,56845,5877145745.005121,27799.39453125,1647.838134765625
2023-10-05,54382,5200414949.823265,27415.912109375,1611.4764404296875
2023-10-06,54835,6667433865.167856,27946.59765625,1645.83154296875
2023-10-07,38209,2244547524.5276327,27968.83984375,1634.51123046875
2023-10-08,37698,2474283769.7174244,27935.08984375,1633.548583984375
2023-10-09,53344,5347433893.701043,27583.677734375,1579.806640625
2023-10-10,50557,5912217303.812839,27391.01953125,1567.7130126953125
2023-10-11,55414,5506016908.086867,26873.3203125,1566.2547607421875
2023-10-12,57189,5132779073.342622,26756.798828125,1539.6124267578125
2023-10-13,53985,4214314739.363898,26862.375,1552.0894775390625
2023-10-14,43734,1699599483.5886288,26861.70703125,1555.2568359375
2023-10-15,40947,1766263101.8744562,27159.65234375,1558.06982421875
2023-10-16,64532,7534080254.383579,28519.466796875,1600.5343017578125
2023-10-17,56625,5867394404.565034,28415.748046875,1565.4395751953125
2023-10-18,56083,6534871433.620918,28328.341796875,1563.7498779296875
2023-10-19,55992,5555537032.2185335,28719.806640625,1567.45703125
2023-10-20,59842,6059643397.323303,29682.94921875,1604.6668701171875
2023-10-21,50386,2688625227.5558186,29918.412109375,1629.304443359375
2023-10-22,50691,2914692478.996457,29993.896484375,1663.429931640625
2023-10-23,73678,8088223277.678145,33086.234375,1765.3826904296875
2023-10-24,83903,8460229309.520018,33901.52734375,1784.4375
2023-10-25,73508,6333834810.515187,34502.8203125,1787.3975830078125
2023-10-26,67947,6194410663.731664,34156.6484375,1804.039306640625
2023-10-27,60675,5226430460.857733,33909.80078125,1780.0452880859375
2023-10-28,46425,2031959068.6394176,34089.57421875,1776.6181640625
2023-10-29,44367,1736262372.4463315,34538.48046875,1795.5460205078125
2023-10-30,60131,5315958099.06811,34502.36328125,1810.088623046875
2023-10-31,65200,8450293838.225283,34667.78125,1816.458984375
2023-11-01,67653,5701681891.582121,35437.25390625,1847.0897216796875
2023-11-02,69886,7806478993.806144,34938.2421875,1800.6209716796875
2023-11-03,63058,5309669144.209919,34732.32421875,1832.795166015625
2023-11-04,48526,3443827642.2614446,35082.1953125,1857.6986083984375
2023-11-05,52626,2484491211.5716805,35049.35546875,1894.15771484375
2023-11-06,57850,6159104611.689805,35037.37109375,1899.83740234375
2023-11-07,61328,5296761940.593556,35443.5625,1888.124267578125
2023-11-08,55803,5160677562.958139,35655.27734375,1889.3223876953125
