date,transfer_count,usdc_volume
2023-10-01 00:00:00.000 UTC,42852,2698518446.321946
2023-10-02 00:00:00.000 UTC,61516,7903753391.062651
2023-10-03 00:00:00.000 UTC,50597,6157389039.677013
2023-10-04 00:00:00.000 UTC,56845,5877145745.005121
2023-10-05 00:00:00.000 UTC,54382,5200414949.823265
2023-10-06 00:00:00.000 UTC,54835,6667433865.167856
2023-10-07 00:00:00.000 UTC,38209,2244547524.5276327
2023-10-08 00:00:00.000 UTC,37698,2474283769.7174244
2023-10-09 00:00:00.000 UTC,53344,5347433893.701043
2023-10-10 00:00:00.000 UTC,50557,5912217303.812839
2023-10-11 00:00:00.000 UTC,55414,5506016908.086867
2023-10-12 00:00:00.000 UTC,57189,5132779073.342622
2023-10-13 00:00:00.000 UTC,53985,4214314739.363898
2023-10-14 00:00:00.000 UTC,43734,1699599483.5886288
2023-10-15 00:00:00.000 UTC,40947,1766263101.8744562
2023-10-16 00:00:00.000 UTC,64532,7534080254.383579
2023-10-17 00:00:00.000 UTC,56625,5867394404.565034
2023-10-18 00:00:00.000 UTC,56083,6534871433.620918
2023-10-19 00:00:00.000 UTC,55992,5555537032.2185335
2023-10-20 00:00:00.000 UTC,59842,6059643397.323303
2023-10-21 00:00:00.000 UTC,50386,2688625227.5558186
2023-10-22 00:00:00.000 UTC,50691,2914692478.996457
2023-10-23 00:00:00.000 UTC,73678,8088223277.678145
2023-10-24 00:00:00.000 UTC,83903,8460229309.520018
2023-10-25 00:00:00.000 UTC,73508,6333834810.515187
2023-10-26 00:00:00.000 UTC,67947,6194410663.731664
2023-10-27 00:00:00.000 UTC,60675,5226430460.857733
2023-10-28 00:00:00.000 UTC,46425,2031959068.6394176
2023-10-29 00:00:00.000 UTC,44367,1736262372.4463315
2023-10-30 00:00:00.000 UTC,60131,5315958099.06811
2023-10-31 00:00:00.000 UTC,65200,8450293838.225283
2023-11-01 00:00:00.000 UTC,67653,5701681891.582121
2023-11-02 00:00:00.000 UTC,69886,7806478993.806144
2023-11-03 00:00:00.000 UTC,63058,5309669144.209919
2023-11-04 00:00:00.000 UTC,48526,3443827642.2614446
2023-11-05 00:00:00.000 UTC,52626,2484491211.5716805
2023-11-06 00:00:00.000 UTC,57850,6159104611.689805
2023-11-07 00:00:00.000 UTC,61328,5296761940.593556
2023-11-08 00:00:00.000 UTC,55803,5160677562.958139
2023-11-09 00:00:00.000 UTC,76895,9022290912.865755
2023-11-10 00:00:00.000 UTC,68561,7225082289.21493
2023-11-11 00:00:00.000 UTC,56623,3447235269.3987885
2023-11-12 00:00:00.000 UTC,50657,2045984252.524869
2023-11-13 00:00:00.000 UTC,58255,7155526997.699211
2023-11-14 00:00:00.000 UTC,62303,6972562706.021664
2023-11-15 00:00:00.000 UTC,64509,6449225870.3933525
2023-11-16 00:00:00.000 UTC,66055,6797851913.971006
2023-11-17 00:00:00.000 UTC,62213,6797855463.326423
2023-11-18 00:00:00.000 UTC,50870,3000207849.6813912
2023-11-19 00:00:00.000 UTC,50089,2116792421.943247
2023-11-20 00:00:00.000 UTC,61747,4511809930.459823
2023-11-21 00:00:00.000 UTC,70960,6369779527.723647
2023-11-22 00:00:00.000 UTC,63549,6715278554.575092
2023-11-23 00:00:00.000 UTC,51945,3903824556.0963464
2023-11-24 00:00:00.000 UTC,56685,5713432697.58404
2023-11-25 00:00:00.000 UTC,46510,1264795454.3648703
2023-11-26 00:00:00.000 UTC,46035,1790751557.9196858
2023-11-27 00:00:00.000 UTC,57109,5073618945.463725
2023-11-28 00:00:00.000 UTC,56574,4492599871.444965
2023-11-29 00:00:00.000 UTC,60317,5295405098.248083
2023-11-30 00:00:00.000 UTC,57222,5203150065.06244
2023-12-01 00:00:00.000 UTC,62360,4897918231.514844
2023-12-02 00:00:00.000 UTC,53526,2205185059.5496674
2023-12-03 00:00:00.000 UTC,51925,1845675394.6300375
2023-12-04 00:00:00.000 UTC,73400,5817710120.95122
2023-12-05 00:00:00.000 UTC,69186,6185509416.054008
2023-12-06 00:00:00.000 UTC,66068,4680854164.99937
2023-12-07 00:00:00.000 UTC,69794,5472717384.042246
2023-12-08 00:00:00.000 UTC,75097,5244934235.180739
2023-12-09 00:00:00.000 UTC,64875,2544546541.445618
2023-12-10 00:00:00.000 UTC,57839,1880145763.8274248
2023-12-11 00:00:00.000 UTC,79046,7632425284.164583
2023-12-12 00:00:00.000 UTC,64300,6510681234.127123
2023-12-13 00:00:00.000 UTC,61224,7269133346.206432
2023-12-14 00:00:00.000 UTC,65585,6028974312.929705
2023-12-15 00:00:00.000 UTC,69410,6041868101.550577
2023-12-16 00:00:00.000 UTC,51855,3076331458.355212
2023-12-17 00:00:00.000 UTC,50382,2895246719.169137
2023-12-18 00:00:00.000 UTC,80660,6525884950.490892
2023-12-19 00:00:00.000 UTC,61925,5891476092.02055
2023-12-20 00:00:00.000 UTC,62674,6303657309.634827
2023-12-21 00:00:00.000 UTC,74711,6191119232.396373
2023-12-22 00:00:00.000 UTC,81858,6359571791.092337
2023-12-23 00:00:00.000 UTC,65813,2346686257.238424
2023-12-24 00:00:00.000 UTC,67800,2529145832.8171296
2023-12-25 00:00:00.000 UTC,65031,2509552415.694791
2023-12-26 00:00:00.000 UTC,75048,5968136959.04531
2023-12-27 00:00:00.000 UTC,72201,6688265947.793364
2023-12-28 00:00:00.000 UTC,78278,7903855745.209127
2023-12-29 00:00:00.000 UTC,75886,7427960140.152803
2023-12-30 00:00:00.000 UTC,61572,3682987918.6719785
2023-12-31 00:00:00.000 UTC,64169,3516387898.6982327
2024-01-01 00:00:00.000 UTC,66572,4041890872.382679
2024-01-02 00:00:00.000 UTC,84377,8073989237.467541
2024-01-03 00:00:00.000 UTC,81958,8408940584.41234
2024-01-04 00:00:00.000 UTC,78220,7835511875.636898
2024-01-05 00:00:00.000 UTC,74795,6622779543.891227
2024-01-06 00:00:00.000 UTC,56289,2177256392.1096873
2024-01-07 00:00:00.000 UTC,45725,1793818182.4194305
2024-01-08 00:00:00.000 UTC,80229,7953872222.586308
2024-01-09 00:00:00.000 UTC,80427,7808584756.206765
2024-01-10 00:00:00.000 UTC,76686,8705528353.06801
